shape,rows,cols,kernel,bpw,ns_per_gemv,weight_MiB,GB_s
q_proj,2048,1024,threads2-fold9,4.1250,20842,0,51.88
q_proj,2048,1024,threads4-Q4_K-real,4.5000,23775,0,49.62
q_proj,2048,1024,threads4-fold9,4.1250,11575,0,93.42
o_proj,1024,2048,Q4_K-real-actf32,4.5000,228900,1.12,5.15
o_proj,1024,2048,Q4_K-real-actint8,4.5000,87075,1.12,13.55
o_proj,1024,2048,T3 fold9 K=2-vs-real,4.1250,38600,1.03,28.01
o_proj,1024,2048,T1 2-bit-vs-real,2.1250,39558,0.53,14.08
o_proj,1024,2048,threads1-Q4_K-real,4.5000,87658,0,13.46
o_proj,1024,2048,threads1-fold9,4.1250,40792,0,26.51
o_proj,1024,2048,threads2-Q4_K-real,4.5000,48433,0,24.36
o_proj,1024,2048,threads2-fold9,4.1250,20808,0,51.97
o_proj,1024,2048,threads4-Q4_K-real,4.5000,31825,0,37.07
o_proj,1024,2048,threads4-fold9,4.1250,11000,0,98.30
k_proj,1024,1024,Q4_K-real-actf32,4.5000,113558,0.56,5.19
k_proj,1024,1024,Q4_K-real-actint8,4.5000,43658,0.56,13.51
k_proj,1024,1024,T3 fold9 K=2-vs-real,4.1250,20758,0.52,26.05
k_proj,1024,1024,T1 2-bit-vs-real,2.1250,19792,0.27,14.07
k_proj,1024,1024,threads1-Q4_K-real,4.5000,43483,0,13.56
k_proj,1024,1024,threads1-fold9,4.1250,19867,0,27.22
k_proj,1024,1024,threads2-Q4_K-real,4.5000,22658,0,26.03
k_proj,1024,1024,threads2-fold9,4.1250,10367,0,52.15
k_proj,1024,1024,threads4-Q4_K-real,4.5000,12125,0,48.65
k_proj,1024,1024,threads4-fold9,4.1250,5850,0,92.42
v_proj,1024,1024,Q6_K-real-actf32,6.5625,163792,0.82,5.25
v_proj,1024,1024,Q6_K-real-actint8,6.5625,162633,0.82,5.29
v_proj,1024,1024,T3 fold9 K=2-vs-real,4.1250,20433,0.52,26.46
v_proj,1024,1024,T1 2-bit-vs-real,2.1250,20383,0.27,13.66
v_proj,1024,1024,threads1-Q6_K-real,6.5625,162008,0,5.31
v_proj,1024,1024,threads1-fold9,4.1250,19775,0,27.34
v_proj,1024,1024,threads2-Q6_K-real,6.5625,83850,0,10.26
v_proj,1024,1024,threads2-fold9,4.1250,10883,0,49.68
v_proj,1024,1024,threads4-Q6_K-real,6.5625,46842,0,18.36
v_proj,1024,1024,threads4-fold9,4.1250,5767,0,93.76
lm_head,151936,1024,Q6_K-real-actf32,6.5625,24408583,121.71,5.23
lm_head,151936,1024,Q6_K-real-actint8,6.5625,24381242,121.71,5.23
lm_head,151936,1024,T3 fold9 K=2-vs-real,4.1250,3040983,76.51,26.38
lm_head,151936,1024,T1 2-bit-vs-real,2.1250,3046450,39.41,13.57
lm_head,151936,1024,threads1-Q6_K-real,6.5625,24669042,0,5.17
lm_head,151936,1024,threads1-fold9,4.1250,3114017,0,25.76
lm_head,151936,1024,threads2-Q6_K-real,6.5625,12961425,0,9.85
lm_head,151936,1024,threads2-fold9,4.1250,1589217,0,50.48
lm_head,151936,1024,threads4-Q6_K-real,6.5625,7689608,0,16.60
lm_head,151936,1024,threads4-fold9,4.1250,1508883,0,53.17
gate/up_proj,3072,1024,Q4_K-real-actf32,4.5000,359475,1.69,4.92
gate/up_proj,3072,1024,Q4_K-real-actint8,4.5000,136633,1.69,12.95
gate/up_proj,3072,1024,T3 fold9 K=2-vs-real,4.1250,61175,1.55,26.51
gate/up_proj,3072,1024,T1 2-bit-vs-real,2.1250,65517,0.80,12.75
gate/up_proj,3072,1024,threads1-Q4_K-real,4.5000,137425,0,12.88
gate/up_proj,3072,1024,threads1-fold9,4.1250,60900,0,26.63
gate/up_proj,3072,1024,threads2-Q4_K-real,4.5000,91975,0,19.24
gate/up_proj,3072,1024,threads2-fold9,4.1250,45633,0,35.54
