name,block,family,shape,dtype,params,rows,cols
model.layers.28.self_attn.q_norm.weight,28,norm,[128],BF16,128,128,1
model.layers.28.self_attn.q_proj.weight,28,q_proj,"[4096, 2560]",BF16,10485760,4096,2560
model.layers.28.self_attn.v_proj.weight,28,v_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.29.input_layernorm.weight,29,norm,[2560],BF16,2560,2560,1
model.layers.29.mlp.down_proj.weight,29,down_proj,"[2560, 9728]",BF16,24903680,2560,9728
model.layers.29.mlp.gate_proj.weight,29,gate_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.29.mlp.up_proj.weight,29,up_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.29.post_attention_layernorm.weight,29,norm,[2560],BF16,2560,2560,1
model.layers.29.self_attn.k_norm.weight,29,norm,[128],BF16,128,128,1
model.layers.29.self_attn.k_proj.weight,29,k_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.29.self_attn.o_proj.weight,29,o_proj,"[2560, 4096]",BF16,10485760,2560,4096
model.layers.29.self_attn.q_norm.weight,29,norm,[128],BF16,128,128,1
model.layers.29.self_attn.q_proj.weight,29,q_proj,"[4096, 2560]",BF16,10485760,4096,2560
model.layers.29.self_attn.v_proj.weight,29,v_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.3.input_layernorm.weight,3,norm,[2560],BF16,2560,2560,1
model.layers.3.mlp.down_proj.weight,3,down_proj,"[2560, 9728]",BF16,24903680,2560,9728
model.layers.3.mlp.gate_proj.weight,3,gate_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.3.mlp.up_proj.weight,3,up_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.3.post_attention_layernorm.weight,3,norm,[2560],BF16,2560,2560,1
model.layers.3.self_attn.k_norm.weight,3,norm,[128],BF16,128,128,1
model.layers.3.self_attn.k_proj.weight,3,k_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.3.self_attn.o_proj.weight,3,o_proj,"[2560, 4096]",BF16,10485760,2560,4096
model.layers.3.self_attn.q_norm.weight,3,norm,[128],BF16,128,128,1
model.layers.3.self_attn.q_proj.weight,3,q_proj,"[4096, 2560]",BF16,10485760,4096,2560
model.layers.3.self_attn.v_proj.weight,3,v_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.30.input_layernorm.weight,30,norm,[2560],BF16,2560,2560,1
model.layers.30.mlp.down_proj.weight,30,down_proj,"[2560, 9728]",BF16,24903680,2560,9728
model.layers.30.mlp.gate_proj.weight,30,gate_proj,"[9728, 2560]",BF16,24903680,9728,2560
